Sphere 1, 0.0s, DBG: -- BEGIN DEBUG LOGS -- 
Sphere 1, 0.0s, DBG: Using func: api.setAttRateTarget 
Sphere 1, 0.0s, DBG: Degrees / Second: 5.0 
Sphere 1, 0.0s, DBG: Omega: -0.002 rad / s | -0.100 deg / s) 
Sphere 1, 1.0s, DBG: Omega: 0.014 rad / s | 0.781 deg / s) 
Sphere 1, 2.0s, DBG: Omega: 0.030 rad / s | 1.741 deg / s) 
Sphere 1, 3.0s, DBG: Omega: 0.035 rad / s | 2.022 deg / s) 
Sphere 1, 4.0s, DBG: Omega: 0.042 rad / s | 2.382 deg / s) 
Sphere 1, 5.0s, DBG: Omega: 0.054 rad / s | 3.103 deg / s) 
Sphere 1, 6.0s, DBG: Omega: 0.062 rad / s | 3.543 deg / s) 
Sphere 1, 7.0s, DBG: Omega: 0.061 rad / s | 3.503 deg / s) 
Sphere 1, 8.0s, DBG: Omega: 0.062 rad / s | 3.543 deg / s) 
Sphere 1, 9.0s, DBG: Omega: 0.063 rad / s | 3.623 deg / s) 
Sphere 1, 10.0s, DBG: Omega: 0.062 rad / s | 3.543 deg / s) 
Sphere 1, 11.0s, DBG: Omega: 0.063 rad / s | 3.583 deg / s) 
Sphere 1, 12.0s, DBG: Omega: 0.065 rad / s | 3.703 deg / s) 
Sphere 1, 13.0s, DBG: Omega: 0.066 rad / s | 3.783 deg / s) 
Sphere 1, 14.0s, DBG: Omega: 0.063 rad / s | 3.623 deg / s) 
Sphere 1, 15.0s, DBG: Omega: 0.064 rad / s | 3.663 deg / s) 
Sphere 1, 16.0s, DBG: Omega: 0.064 rad / s | 3.663 deg / s) 
Sphere 1, 17.0s, DBG: Omega: 0.060 rad / s | 3.463 deg / s) 
Sphere 1, 18.0s, DBG: Omega: 0.064 rad / s | 3.663 deg / s) 
Sphere 1, 19.0s, DBG: Omega: 0.058 rad / s | 3.343 deg / s) 
Sphere 1, 20.0s, DBG: Omega: 0.060 rad / s | 3.423 deg / s) 
Sphere 1, 21.0s, DBG: Omega: 0.063 rad / s | 3.623 deg / s) 
Sphere 1, 22.0s, DBG: Omega: 0.061 rad / s | 3.503 deg / s) 
Sphere 1, 23.0s, DBG: Omega: 0.061 rad / s | 3.503 deg / s) 
Sphere 1, 24.0s, DBG: Omega: 0.060 rad / s | 3.423 deg / s) 
Sphere 1, 25.0s, DBG: Omega: 0.062 rad / s | 3.543 deg / s) 
Sphere 1, 26.0s, DBG: Omega: 0.060 rad / s | 3.423 deg / s) 
Sphere 1, 27.0s, DBG: Omega: 0.062 rad / s | 3.543 deg / s) 
Sphere 1, 28.0s, DBG: Omega: 0.058 rad / s | 3.343 deg / s) 
Sphere 1, 29.0s, DBG: Omega: 0.060 rad / s | 3.423 deg / s) 
Sphere 1, 30.0s, DBG: Omega: 0.058 rad / s | 3.303 deg / s) 
Sphere 1, 31.0s, DBG: Omega: 0.057 rad / s | 3.263 deg / s) 
Sphere 1, 32.0s, DBG: Omega: 0.062 rad / s | 3.543 deg / s) 
Sphere 1, 33.0s, DBG: Omega: 0.064 rad / s | 3.663 deg / s) 
Sphere 1, 34.0s, DBG: Omega: 0.063 rad / s | 3.623 deg / s) 
Sphere 1, 35.0s, DBG: Omega: 0.063 rad / s | 3.623 deg / s) 
Sphere 1, 36.0s, DBG: Omega: 0.062 rad / s | 3.543 deg / s) 
Sphere 1, 37.0s, DBG: Omega: 0.066 rad / s | 3.783 deg / s) 
Sphere 1, 38.0s, DBG: Omega: 0.067 rad / s | 3.863 deg / s) 
Sphere 1, 39.0s, DBG: Omega: 0.070 rad / s | 4.023 deg / s) 
Sphere 1, 40.0s, DBG: Omega: 0.072 rad / s | 4.143 deg / s) 
Sphere 1, 41.0s, DBG: Omega: 0.072 rad / s | 4.103 deg / s) 
Sphere 1, 42.0s, DBG: Omega: 0.073 rad / s | 4.183 deg / s) 
Sphere 1, 43.0s, DBG: Omega: 0.070 rad / s | 4.023 deg / s) 
Sphere 1, 44.0s, DBG: Omega: 0.075 rad / s | 4.304 deg / s) 
Sphere 1, 45.0s, DBG: Omega: 0.073 rad / s | 4.183 deg / s) 
Sphere 1, 46.0s, DBG: Omega: 0.077 rad / s | 4.384 deg / s) 
Sphere 1, 47.0s, DBG: Omega: 0.070 rad / s | 3.983 deg / s) 
Sphere 1, 48.0s, DBG: Omega: 0.074 rad / s | 4.263 deg / s) 
Sphere 1, 49.0s, DBG: Omega: 0.075 rad / s | 4.304 deg / s) 
Sphere 1, 50.0s, DBG: Omega: 0.077 rad / s | 4.424 deg / s) 
Sphere 1, 51.0s, DBG: Omega: 0.077 rad / s | 4.384 deg / s) 
Sphere 1, 52.0s, DBG: Omega: 0.079 rad / s | 4.544 deg / s) 
Sphere 1, 53.0s, DBG: Omega: 0.075 rad / s | 4.304 deg / s) 
Sphere 1, 54.0s, DBG: Omega: 0.073 rad / s | 4.183 deg / s) 
Sphere 1, 55.0s, DBG: Omega: 0.076 rad / s | 4.344 deg / s) 
Sphere 1, 56.0s, DBG: Omega: 0.079 rad / s | 4.544 deg / s) 
Sphere 1, 57.0s, DBG: Omega: 0.079 rad / s | 4.504 deg / s) 
Sphere 1, 58.0s, DBG: Omega: 0.076 rad / s | 4.344 deg / s) 
Sphere 1, 59.0s, DBG: Omega: 0.078 rad / s | 4.464 deg / s) 
Sphere 1, 60.0s, DBG: Omega: 0.077 rad / s | 4.384 deg / s) 
Sphere 1, 61.0s, DBG: Omega: 0.075 rad / s | 4.304 deg / s) 
Sphere 1, 62.0s, DBG: Omega: 0.077 rad / s | 4.424 deg / s) 
Sphere 1, 63.0s, DBG: Omega: 0.077 rad / s | 4.384 deg / s) 
Sphere 1, 64.0s, DBG: Omega: 0.075 rad / s | 4.304 deg / s) 
Sphere 1, 65.0s, DBG: Omega: 0.073 rad / s | 4.183 deg / s) 
Sphere 1, 66.0s, DBG: Omega: 0.077 rad / s | 4.384 deg / s) 
Sphere 1, 67.0s, DBG: Omega: 0.075 rad / s | 4.304 deg / s) 
Sphere 1, 68.0s, DBG: Omega: 0.074 rad / s | 4.223 deg / s) 
Sphere 1, 69.0s, DBG: Omega: 0.074 rad / s | 4.263 deg / s) 
Sphere 1, 70.0s, DBG: Omega: 0.072 rad / s | 4.103 deg / s) 
Sphere 1, 71.0s, DBG: Omega: 0.071 rad / s | 4.063 deg / s) 
Sphere 1, 72.0s, DBG: Omega: 0.074 rad / s | 4.223 deg / s) 
Sphere 1, 73.0s, DBG: Omega: 0.073 rad / s | 4.183 deg / s) 
Sphere 1, 74.0s, DBG: Omega: 0.068 rad / s | 3.903 deg / s) 
Sphere 1, 75.0s, DBG: Omega: 0.072 rad / s | 4.103 deg / s) 
Sphere 1, 76.0s, DBG: Omega: 0.071 rad / s | 4.063 deg / s) 
Sphere 1, 77.0s, DBG: Omega: 0.069 rad / s | 3.943 deg / s) 
Sphere 1, 78.0s, DBG: Omega: 0.067 rad / s | 3.863 deg / s) 
Sphere 1, 79.0s, DBG: Omega: 0.068 rad / s | 3.903 deg / s) 
Sphere 1, 80.0s, DBG: Omega: 0.065 rad / s | 3.703 deg / s) 
Sphere 1, 81.0s, DBG: Omega: 0.063 rad / s | 3.623 deg / s) 
Sphere 1, 82.0s, DBG: Omega: 0.063 rad / s | 3.623 deg / s) 
Sphere 1, 83.0s, DBG: Omega: 0.064 rad / s | 3.663 deg / s) 
Sphere 1, 84.0s, DBG: Omega: 0.059 rad / s | 3.383 deg / s) 
